group,queried_name,exists,name,latest_version,updated_at,newest_version_date,total_downloads,recent_downloads,msrv,license,keywords,categories,description,repository,homepage,documentation,status,error
xmpp,xmpp-im,True,xmpp-im,0.0.0,2017-05-11T01:55:05.913424Z,0.0.0,2182,9,,,"jabber,im,instant-messaging,rfc6120,xmpp",network-programming,"An implementation of the Extensible Messaging and Presence Protocol (XMPP) core spec defined in RFC 6120.  If you are using XMPP for simple device-to-device communications and do not need IM, see the ",https://bitbucket.org/mellium/xmpp-im/,,https://docs.rs/xmpp-im,,
feeds,legible,True,legible,0.5.1,2026-08-08T20:16:38.231649Z,0.5.1,9999,9311,,,"article,extraction,html,parser,readability","parsing,text-processing,web-programming",A Rust port of Mozilla's Readability.js for extracting readable content from web pages,https://github.com/ryanfowler/legible,,https://docs.rs/legible,,
atproto,bsky-sdk,True,bsky-sdk,0.1.24,2026-03-26T00:12:33.848458Z,0.1.24,70317,15159,,,"atproto,atrium,bluesky,sdk",,ATrium-based SDK for Bluesky,https://github.com/atrium-rs/atrium,,https://docs.rs/bsky-sdk,,
atproto,crosspost,True,crosspost,0.1.3,2026-07-17T00:38:32.001694Z,0.1.3,76,36,,,,,Cross-post messages to multiple social media platforms,https://github.com/arkiecompany/crosspost-rs,,,,
atproto,atrium-xrpc-client,True,atrium-xrpc-client,0.5.15,2025-12-27T09:00:10.632740Z,0.5.15,104710,23018,,,"atproto,bluesky",,XRPC Client library for AT Protocol (Bluesky),https://github.com/atrium-rs/atrium,,https://docs.rs/atrium-xrpc-client,,
atproto,proto-blue,True,proto-blue,0.3.3,2026-05-18T05:09:00.561278Z,0.3.3,678,579,,,"atproto,bluesky,decentralized,sdk,social","api-bindings,web-programming::http-client",AT Protocol SDK for Rust — full-stack client for Bluesky and the AT Protocol,https://github.com/dollspace-gay/proto-blue,,,,
atproto,atrium-api,True,atrium-api,0.25.8,2026-03-26T00:09:43.761135Z,0.25.8,188970,32785,,,"atproto,bluesky",,API library for AT Protocol (Bluesky),https://github.com/atrium-rs/atrium,,https://docs.rs/atrium-api,,
feeds,html-to-markdown-rs,True,html-to-markdown-rs,3.10.6,2026-08-05T18:35:39.802289Z,3.10.6,962840,604970,,,"astral-tl,converter,doc-processing,html,markdown","web-programming,text-processing,parsing",High-performance HTML to Markdown converter using the astral-tl parser. Part of the Xberg ecosystem.,https://github.com/xberg-io/html-to-markdown,https://xberg.io,https://docs.rs/html-to-markdown-rs,,
atproto,atrium-xrpc,True,atrium-xrpc,0.12.4,2025-12-27T08:59:44.074702Z,0.12.4,147005,35429,,,"atproto,bluesky",,XRPC library for AT Protocol (Bluesky),https://github.com/atrium-rs/atrium,,https://docs.rs/atrium-xrpc,,
atproto,atrium-repo,True,atrium-repo,0.1.8,2026-03-26T00:10:15.663668Z,0.1.8,6778,1332,,,"atproto,bluesky,mst",,Library for handling AT Protocol (Bluesky) repositories and MSTs,https://github.com/atrium-rs/atrium,,https://docs.rs/atrium-repo,,
social,mastodon,True,mastodon,0.1.0,2016-11-25T11:26:19.878502Z,0.1.0,2378,7,,,"chat,mastodon",,client api for interacting with mastodon instances,https://github.com/tinaun/mastodon-rs,,,,
pgp,otrr,True,otrr,0.7.4,2024-12-23T00:17:34.124125Z,0.7.4,6957,21,,,,,otrr — OTR protocol version 3 and 4,https://github.com/cobratbq/otrr,,,,
pgp,pgp,True,pgp,0.20.0,2026-06-23T14:57:36.339944Z,0.20.0,5500350,1434854,,,"email,encryption,gpg,openpgp,pgp","cryptography,email",OpenPGP implementation in Rust,https://github.com/rpgp/rpgp,https://github.com/rpgp/rpgp,,,
terminal,libmoshpit,True,libmoshpit,0.11.2,2026-08-09T18:16:15.523801Z,0.11.2,1064,765,,,"mosh,ssh","network-programming,cryptography,command-line-interface","A Rust implementation of in the same vein as Mosh, the mobile shell.",https://git.jasonozias.com/moshpit.git,,https://docs.rs/libmoshpit,,
pgp,shucker,True,shucker,0.1.1,2024-12-31T14:43:26.870073Z,0.1.1,1826,11,,,"adblock,tracking,url","encoding,web-programming","Tracking-param filtering library, designed to strip URLs down to their canonical forms",https://github.com/palfrey/shucker,,,,
terminal,shpool-protocol,True,shpool-protocol,0.4.1,2026-05-20T21:52:29.155799Z,0.4.1,14829,3440,,,"persistence,shell,terminal,tmux,tty",,shpool-protocol defines the internal protocol shpool uses to talk between its client and daemon processes. You almost certainly don't need to use it directly.,https://github.com/shell-pool/shpool,,,,
terminal,shpool,True,shpool,0.11.0,2026-06-12T21:20:09.208818Z,0.11.0,22827,2065,,,"persistence,shell,terminal,tmux,tty",,shpool is a mechanism for establishing lightweight persistant shell sessions to gracefully handle network disconnects.,https://github.com/shell-pool/shpool,,,,
social,nostr,True,nostr,0.45.1,2026-08-07T10:17:47.604038Z,0.45.1,1524708,745134,,,"no_std,nostr,protocol",,Rust implementation of the Nostr protocol.,https://github.com/nostrdevkit/nostr.git,https://nostrdevkit.org,,,
adblock,adblock,True,adblock,0.13.2,2026-07-19T03:28:46.473116Z,0.13.2,1025903,268380,,,,,"Native Rust module for Adblock Plus syntax (e.g. EasyList, EasyPrivacy) filter parsing and matching.",https://github.com/brave/adblock-rust/,,,,
terminal,ssh-obi,True,ssh-obi,0.1.3,2026-05-10T03:36:31.778776Z,0.1.3,76,37,,,"pty,reconnect,ssh,terminal,tmux","command-line-utilities,network-programming",Lightweight per-user terminal multiplexer with auto-reconnecting sessions tunneled over plain SSH — preserves the local terminal's native scrollback (unlike mosh) and requires no system-wide daemon (u,https://github.com/menhera-org/ssh-obi,https://obi.menhera.org,,,
terminal,etr,True,etr,0.6.5,2026-07-22T15:46:47.403235Z,0.6.5,308,308,,,"mosh,reconnect,remote-shell,ssh,terminal","command-line-utilities,network-programming",A Rust implementation of Eternal Terminal (et),https://github.com/l1a/etr,,,,
terminal,safe-telnet-parser,True,safe-telnet-parser,0.1.0,2026-02-03T05:10:55.395529Z,0.1.0,115,49,,,"cve,defensive,parser,security,telnet","security,network-programming,parsing",Memory-safe Telnet protocol parser for defensive security and CVE mitigation,https://github.com/olatunbosunoyeleke94/telnet-sec,,,,
terminal,telnet-sanitizer,True,telnet-sanitizer,0.1.0,2026-02-03T05:13:25.925645Z,0.1.0,26,10,,,"cve,proxy,sanitizer,security,telnet","network-programming,security",Telnet TCP proxy that sanitizes protocol input to mitigate CVE-class vulnerabilities,https://github.com/olatunbosunoyeleke94/telnet-sec,,,,
terminal,telnet,True,telnet,0.2.5,2026-07-08T14:52:16.636408Z,0.2.5,116422,34779,,,telnet,network-programming,A simple implementation of telnet protocol.,https://github.com/SLMT/telnet-rs,https://github.com/SLMT/telnet-rs,https://docs.rs/telnet,,
terminal,libmudtelnet,True,libmudtelnet,2.0.2,2026-05-26T20:37:47.935836Z,2.0.2,16485,1336,,,"libtelnet,mud,telnet",network-programming,low-level Telnet protocol implementation for MUD clients,https://github.com/blightmud/libmudtelnet,https://github.com/blightmud/libmudtelnet,https://docs.rs/libmudtelnet,,
terminal,libmudtelnet-rs,True,libmudtelnet-rs,2.0.10,2025-09-15T19:05:19.880216Z,2.0.10,1347,177,,,"gmcp,libtelnet,msdp,mud,telnet","game-development,network-programming","Robust, event-driven Telnet (RFC 854) parser for MUD clients with GMCP, MSDP, MCCP support and zero-allocation hot paths",https://github.com/laudney/libmudtelnet-rs,https://github.com/laudney/libmudtelnet-rs,https://docs.rs/libmudtelnet-rs,,
terminal,stund,True,stund,0.1.6,2019-06-05T02:45:56.329676Z,0.1.6,7789,19,,,stund,asynchronous,An SSH tunnel maintenance daemon.,https://github.com/pkgw/stund/,https://github.com/pkgw/stund/,https://docs.rs/crate/stund,,
terminal,sunset,True,sunset,0.6.0,2026-08-02T15:40:18.334314Z,0.6.0,5559,936,,,ssh,"network-programming,no-std,embedded",A SSH library suitable for embedded and larger programs,https://github.com/mkj/sunset,,,,
ansi,wrap-ansi,True,wrap-ansi,0.1.0,2025-09-08T09:44:05.921647Z,0.1.0,344372,149865,,,"ansi,cli,terminal,text,wrapping","text-processing,command-line-utilities,development-tools","A high-performance, Unicode-aware Rust library for intelligently wrapping text while preserving ANSI escape sequences, colors, styles, and hyperlinks",https://github.com/sabry-awad97/wrap-ansi,https://github.com/sabry-awad97/wrap-ansi,https://docs.rs/wrap-ansi,,
terminal,telnet_wrapper,True,telnet_wrapper,0.1.0,2026-01-25T22:58:56.527490Z,0.1.0,30,10,,,"pty,server,telnet,terminal,wrapper","command-line-utilities,network-programming","A telnet server that wraps terminal applications, exposing them to telnet clients with proper protocol support including window size negotiation (NAWS)",https://github.com/justpresident/telnet_wrapper,,,,
docs,tdoc,True,tdoc,0.12.0,2026-08-07T16:27:52.343481Z,0.12.0,2287,1188,,,,,"Library and CLI for reading, rendering, and converting text documents across Markdown, HTML, Gemini, and FTML",https://github.com/roblillack/tdoc,,,,
docs,dioxus-code-editor,True,dioxus-code-editor,0.1.2,2026-05-08T15:00:54.209974Z,0.1.2,694,653,,,"code,dioxus,editor,highlighting","gui,web-programming",Syntax-highlighted code editor component for Dioxus.,https://github.com/ealmloff/dioxus-code,https://dioxuslabs.github.io/dioxus-code/,,,
ansi,ansi-escape-sequences,True,ansi-escape-sequences,0.1.0,2025-09-08T08:50:45.913372Z,0.1.0,351803,152440,,,"ansi,cli,escape-sequences,regex,terminal","text-processing,command-line-utilities,parsing","High-performance Rust library for detecting, matching, and processing ANSI escape sequences in terminal text with zero-allocation static regex patterns",https://github.com/sabry-awad97/ansi-escape-sequences,https://github.com/sabry-awad97/ansi-escape-sequences,https://docs.rs/ansi-escape-sequences,,
docs,markdown-ppp,True,markdown-ppp,2.9.2,2026-03-31T10:30:53.476010Z,2.9.2,248215,83407,,,"format,markdown,parser,pretty-print","parsing,text-processing",Feature-rich Markdown Parsing and Pretty-Printing library,https://github.com/johnlepikhin/markdown-ppp,,https://docs.rs/markdown-ppp,,
spellcheck,harper-core,True,harper-core,2.7.0,2026-07-28T21:04:03.398810Z,2.7.0,103426,9326,,,,,The language checker for developers.,https://github.com/automattic/harper,,,,
ansi,nu-ansi-term,True,nu-ansi-term,0.50.3,2025-10-10T17:34:18.972478Z,0.50.3,468004353,119953699,,,,,"Library for ANSI terminal colors and styles (bold, underline)",https://github.com/nushell/nu-ansi-term,,,,
terminal,russh,True,russh,0.62.6,2026-08-11T09:22:00.287388Z,0.62.6,5634570,2431638,,,ssh,,A client and server SSH library.,https://github.com/warp-tech/russh,https://github.com/warp-tech/russh,https://docs.rs/russh,,
ui,dioxus,True,dioxus,0.7.10,2026-07-31T00:13:10.459124Z,0.8.0-alpha.1,2257257,772899,,,"desktop,gui,mobile,wasm,web",,"Build fullstack web, desktop, and mobile apps with a single codebase.",https://github.com/DioxusLabs/dioxus/,https://dioxuslabs.com,,,
ui,wry,True,wry,0.56.0,2026-07-30T03:16:05.712637Z,0.56.0,27667084,10073034,,,,gui,Cross-platform WebView rendering library,https://github.com/tauri-apps/wry,,https://docs.rs/wry,,
ui,tao,True,tao,0.36.0,2026-07-29T02:09:58.858766Z,0.36.0,26977127,10074810,,,windowing,gui,Cross-platform window manager library.,https://github.com/tauri-apps/tao,,https://docs.rs/tao,,
ui,iced,True,iced,0.14.0,2025-12-07T20:51:51.386769Z,0.14.0,2494091,648119,,,"graphics,gui,interface,ui,widgets",gui,A cross-platform GUI library inspired by Elm,https://github.com/iced-rs/iced,https://iced.rs,,,
ui,slint,True,slint,1.17.1,2026-07-07T07:01:55.914749Z,1.17.1,1454544,381943,,,"design,graphics,gui,toolkit,ui","rendering::engine,no-std,gui",GUI toolkit to efficiently develop fluid graphical user interfaces for embedded devices and desktop applications,https://github.com/slint-ui/slint,https://slint.rs,https://slint.dev/docs,,
engine,servo,True,servo,0.4.0,2026-07-16T12:14:01.753698Z,0.4.0,40166,24525,,,,,A component of the servo web-engine.,https://github.com/servo/servo,,,,
engine,blitz,True,blitz,0.2.1,2026-07-10T16:19:32.935039Z,0.3.0-beta.1,1901,756,,,,gui,High-level APIs for rendering HTML with Blitz,https://github.com/dioxuslabs/blitz,https://github.com/dioxuslabs/blitz,https://docs.rs/blitz,,
ui,tauri,True,tauri,2.11.5,2026-07-01T13:56:38.810372Z,2.11.5,25301291,9521922,,,,"gui,web-programming","Make tiny, secure apps for all desktop platforms with Tauri",https://github.com/tauri-apps/tauri,https://tauri.app/,,,
ui,egui,True,egui,0.36.1,2026-08-07T13:09:38.919949Z,0.36.1,21276124,4714455,,,"gamedev,gui,imgui,immediate,portable","game-development,gui",An easy-to-use immediate mode GUI that runs on both web and native,https://github.com/emilk/egui,https://github.com/emilk/egui,,,
engine,blitz-dom,True,blitz-dom,0.2.4,2026-07-10T16:19:24.880475Z,0.3.0-beta.1,231058,126774,,,,gui,Blitz DOM implementation,https://github.com/dioxuslabs/blitz,https://github.com/dioxuslabs/blitz,https://docs.rs/blitz-dom,,
storage,refinery,True,refinery,0.9.2,2026-06-10T18:23:04.721310Z,0.9.2,9321021,1827857,,,"database,migrations,orm,sql",database,Powerful SQL migration toolkit for Rust,https://github.com/rust-db/refinery,,https://docs.rs/refinery/,,
storage,rusqlite,True,rusqlite,0.40.2,2026-08-08T14:21:52.570893Z,0.40.2,91109903,29484503,,,"database,ffi,sqlite",database,Ergonomic wrapper for SQLite,https://github.com/rusqlite/rusqlite,,https://docs.rs/rusqlite/,,
storage,instant-distance,True,instant-distance,0.6.1,2023-06-26T07:52:56.737750Z,0.6.1,831970,630291,,,,,Fast minimal implementation of HNSW maps for approximate nearest neighbors searches,https://github.com/InstantDomain/instant-distance,https://github.com/InstantDomain/instant-distance,https://docs.rs/instant-distance,,
storage,tantivy,True,tantivy,0.26.1,2026-04-21T05:37:43.487898Z,0.26.1,16514697,3636248,,,"information,retrieval,search","data-structures,database-implementations",Search engine library,https://github.com/quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,https://docs.rs/tantivy/,,
storage,sqlite-vec,True,sqlite-vec,0.1.9,2026-05-18T06:52:40.253530Z,0.1.10-alpha.4,2315760,763716,,,"sqlite,sqlite-extension",,FFI bindings to the sqlite-vec SQLite extension,https://github.com/asg017/sqlite-vec,https://github.com/asg017/sqlite-vec,,,
http,reqwest,True,reqwest,0.13.4,2026-05-25T17:12:48.317444Z,0.13.4,635082483,160124401,,,"client,http,request","wasm,web-programming::http-client",higher level HTTP client library,https://github.com/seanmonstar/reqwest,,https://docs.rs/reqwest,,
tor,lyrebird,True,lyrebird,0.2.0,2024-10-12T19:36:02.497339Z,0.2.0,3275,19,,,,,a crate for sound and music generation in bevy,,,,,
http,hickory-dns,True,hickory-dns,0.26.1,2026-05-01T13:53:56.877269Z,0.26.1,25083,2042,,,"dns,dnssec",network-programming,"Hickory DNS is a safe and secure DNS server with a variety of protocol features (DNSSEC, TSIG, SIG(0), DoT, DoQ, DoH). It can be operated as an authoritative DNS server, forwarding resolver, stub reso",https://github.com/hickory-dns/hickory-dns,https://hickory-dns.org/,https://docs.rs/hickory-dns,,
http,hickory-resolver,True,hickory-resolver,0.26.1,2026-05-01T13:53:22.204692Z,0.26.1,66313909,18341508,,,"dns,dnssec",network-programming,hickory-resolver is a safe and secure DNS stub resolver library intended to be a high-level library for DNS record resolution.,https://github.com/hickory-dns/hickory-dns,https://hickory-dns.org/,https://docs.rs/hickory-resolver,,
storage,sqlx,True,sqlx,0.9.0,2026-05-21T17:35:53.403466Z,0.9.0,129029148,32488982,,,,,"🧰 The Rust SQL Toolkit. An async, pure Rust SQL crate featuring compile-time checked queries without a DSL. Supports PostgreSQL, MySQL, and SQLite.",https://github.com/launchbadge/sqlx,,https://docs.rs/sqlx,,
http,ureq,True,ureq,3.4.0,2026-08-08T20:46:53.801810Z,3.4.0,175605902,49532796,,,"client,http,https,request,web",web-programming::http-client,"Simple, safe HTTP client",https://github.com/algesten/ureq,,,,
pgp,rpgp,False,,,,,,,,,,,,,,,404,HTTP 404
tor,arti,True,arti,2.5.1,2026-08-03T21:17:04.177727Z,2.5.1,93140,6741,,,"anonymity,arti,privacy,tor","command-line-utilities,cryptography",A rust implementation of the Tor privacy tools.,https://gitlab.torproject.org/tpo/core/arti.git/,https://gitlab.torproject.org/tpo/core/arti/-/wikis/home,,,
email,async-imap,True,async-imap,0.11.3,2026-07-17T20:49:59.869309Z,0.11.3,1179959,592177,,,"email,imap","email,network-programming",Async IMAP client for Rust,https://github.com/async-email/async-imap,https://github.com/async-email/async-imap,https://docs.rs/async-imap/,,
http,hyper,True,hyper,1.11.0,2026-07-20T13:52:28.534490Z,1.11.0,829931750,183469542,,,"http,hyper,hyperium","web-programming::http-server,network-programming,web-programming::http-client",A protective and efficient HTTP library for all.,https://github.com/hyperium/hyper,https://hyper.rs,https://docs.rs/hyper,,
pgp,sequoia-openpgp,True,sequoia-openpgp,2.4.1,2026-07-09T12:13:30.090286Z,2.4.1,1723408,328625,,,"cryptography,encryption,openpgp,pgp,signing","cryptography,authentication,email",OpenPGP data types and associated machinery,https://gitlab.com/sequoia-pgp/sequoia,https://sequoia-pgp.org/,https://docs.rs/sequoia-openpgp,,
email,mail-parser,True,mail-parser,0.11.6,2026-08-10T17:32:19.596024Z,0.11.6,2893553,1194394,,,"email,mail,mime,parse,parser","email,parser-implementations",Fast and robust e-mail parsing library for Rust,https://github.com/stalwartlabs/mail-parser,https://github.com/stalwartlabs/mail-parser,,,
email,smtp-message,True,smtp-message,0.1.0,2022-10-09T21:24:07.599165Z,0.1.0,4140,162,,,"email,builder,parser,smtp","parser-implementations,email,network-programming",Line-oriented parser and builder for SMTP protocol messages,https://github.com/Ekleog/kannader,,,,
webrtc,webrtc,True,webrtc,0.20.2,2026-08-11T03:32:40.431059Z,0.20.2,5545176,1390428,,,"networking,protocols,sansio",network-programming,Async-friendly WebRTC implementation in Rust,https://github.com/webrtc-rs/webrtc,https://webrtc.rs,https://docs.rs/webrtc,,
keyring,keyring,True,keyring,4.1.6,2026-08-01T00:53:43.636645Z,4.1.6,19928569,8003377,,,"credential,cross-platform,keychain,keyring,password",,All-in-One Rust Keyring,https://github.com/open-source-cooperative/keyring-rs,https://github.com/open-source-cooperative/keyring-rs/wiki/Keyring,,,
email,lettre,True,lettre,0.11.23,2026-08-03T11:10:11.720283Z,0.11.23,14670295,5004198,,,"email,mailer,message,sendmail,smtp","email,network-programming",Email client,https://github.com/lettre/lettre,https://lettre.rs,,,
terminal,vt10x,False,,,,,,,,,,,,,,,404,HTTP 404
email,mail-send,True,mail-send,0.6.1,2026-07-04T10:19:24.274836Z,0.6.1,488441,77764,,,"dkim,email,mail,mime,smtp",email,E-mail delivery library with SMTP and DKIM support,https://github.com/stalwartlabs/mail-send,https://github.com/stalwartlabs/mail-send,,,
matrix,matrix-sdk,True,matrix-sdk,0.18.0,2026-06-02T12:52:25.444715Z,0.18.0,533979,197389,,,"chat,matrix,messaging,nio,ruma",,A high level Matrix client-server library.,https://github.com/matrix-org/matrix-rust-sdk,https://github.com/matrix-org/matrix-rust-sdk,,,
terminal,ssh2,True,ssh2,0.9.6,2026-06-30T19:36:56.595517Z,0.9.6,7330270,1028014,,,ssh,,"Bindings to libssh2 for interacting with SSH servers and executing remote commands, forwarding local ports, etc.",https://github.com/alexcrichton/ssh2-rs,https://github.com/alexcrichton/ssh2-rs,https://docs.rs/ssh2,,
terminal,vte,True,vte,0.15.0,2025-02-02T16:23:10.564882Z,0.15.0,67173008,13052814,,,"ansi,parser,terminal,vte","no-std,parsing",Parser for implementing terminal emulators,https://github.com/alacritty/vte,,https://docs.rs/vte/,,
terminal,alacritty_terminal,True,alacritty_terminal,0.26.0,2026-04-06T19:22:47.024755Z,0.26.0,1063212,498604,,,,,Library for writing terminal emulators,https://github.com/alacritty/alacritty,https://alacritty.org,,,
terminal,thrussh,True,thrussh,0.44.0,2026-08-08T04:07:12.214810Z,0.44.0,328317,6088,,,ssh,,A client and server SSH library.,https://nest.pijul.com/pijul/ssh,https://pijul.org/ssh,https://docs.rs/ssh,,
feeds,syndication,True,syndication,0.5.0,2019-10-26T17:59:42.585177Z,0.5.0,22648,622,,,"blog,feed,atom,rss,syndication",,Library for serializing Atom and RSS web feeds,https://github.com/tomshen/rust-syndication,,,,
ipfs,rust-ipfs,True,rust-ipfs,0.16.0,2026-07-04T12:54:58.362557Z,0.16.0,119379,1749,,,,,IPFS node implementation,https://github.com/dariusc93/rust-ipfs,,,,
html,kuchiki,True,kuchiki,0.8.1,2020-08-05T12:02:30.144298Z,0.8.1,3229005,323426,,,,,(朽木) HTML/XML tree manipulation library,https://github.com/SimonSapin/kuchiki,,,,
